trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
692,False,"{'a': 0.5, 'e': 0.031158165231288865}",25,18,14.75509332846796,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.5, 'e': 0.03100237440513242}",20,0,11.151069395033202,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
694,False,"{'a': 0.5, 'e': 0.030847362533106756}",20,7,-22.27940221410765,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
695,False,"{'a': 0.5, 'e': 0.030693125720441222}",25,8,30.792473392044055,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.5, 'e': 0.030539660091839015}",20,7,21.950719752679912,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.5, 'e': 0.03038696179137982}",25,0,38.826269384760295,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
698,False,"{'a': 0.5, 'e': 0.030235026982422922}",35,25,17.440082269476797,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.5, 'e': 0.030083851847510806}",25,13,21.026009762839642,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.5, 'e': 0.029933432588273252}",30,19,18.990295626996375,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.5, 'e': 0.029783765425331888}",20,0,24.66139349324748,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
702,False,"{'a': 0.5, 'e': 0.029634846598205228}",25,17,16.076833277235426,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.5, 'e': 0.0294866723652142}",30,20,18.432463083232943,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.5, 'e': 0.02933923900338813}",25,6,34.7178136128418,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.5, 'e': 0.029192542808371188}",20,9,19.65311968184978,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.5, 'e': 0.02904658009432933}",30,4,39.79181433416061,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.5, 'e': 0.028901347193857688}",20,0,26.174737027745508,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
708,False,"{'a': 0.5, 'e': 0.028756840457888396}",20,11,14.95140752456405,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'a': 0.5, 'e': 0.028613056255598956}",25,17,17.250015565811935,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.5, 'e': 0.02846999097432096}",20,0,29.371870606339844,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
711,False,"{'a': 0.5, 'e': 0.028327641019449356}",25,14,22.153888593499246,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.5, 'e': 0.028186002814352108}",25,0,35.71726473908627,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
713,False,"{'a': 0.5, 'e': 0.028045072800280346}",30,13,33.29666326509343,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.5, 'e': 0.027904847436278947}",35,18,33.124943931514395,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.5, 'e': 0.027765323199097552}",25,18,5.3091627988046035,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.5, 'e': 0.027626496583102064}",20,13,15.194014821582465,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.5, 'e': 0.02748836410018655}",30,15,25.077498964186216,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'a': 0.5, 'e': 0.02735092227968562}",20,13,14.598851371932351,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.5, 'e': 0.02721416766828719}",25,13,24.185785599761868,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
720,False,"{'a': 0.5, 'e': 0.027078096829945757}",30,18,21.798430104152835,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.5, 'e': 0.026942706345796028}",25,18,13.964931431622507,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.5, 'e': 0.026807992814067046}",25,18,11.397191646800017,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.5, 'e': 0.026673952849996713}",30,15,27.69485277005335,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
724,False,"{'a': 0.5, 'e': 0.02654058308574673}",20,6,9.676802901226928,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
725,False,"{'a': 0.5, 'e': 0.026407880170317994}",20,11,16.36514838990693,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.5, 'e': 0.026275840769466402}",25,14,21.36901087296541,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
727,False,"{'a': 0.5, 'e': 0.026144461565619073}",25,11,19.99462243435614,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.5, 'e': 0.026013739257790977}",20,12,16.791691597434443,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.5, 'e': 0.02588367056150202}",25,19,-9.543963545595417,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
730,False,"{'a': 0.5, 'e': 0.02575425220869451}",25,16,14.189436147741086,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.5, 'e': 0.025625480947651037}",20,8,19.89797404485842,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
